Service_Provider,Deal,Services_Offered,Price,Details
AIMS BEAUTY SALON,DEAL 39,DEAL 39 HAIR DEAL Base Color Highlights Lowlights Balayage Streaks (Shoulder Length) (Mid Length),"Rs.10,000/-, Rs.12,000/-","DEAL 39 HAIR DEAL Base Color Highlights Lowlights Balayage Streaks (Shoulder Length) (Mid Length)  Rs.10,000/-_ Rs.12,000/-"
NSMVA SALON,DEAL 41,DEAL 41 HYDRAFACIAL Manicure Pedicure Eyebrows Upper Lips,"Rs. 4,999/-","DEAL 41 HYDRAFACIAL Manicure Pedicure Eyebrows Upper Lips Rs. 4,999/- BUY IEGET4ASERVICES FREE"
AIMS BEAUTY SALON,DEAL 38,DEAL 38 HAIR DEAL Fashion Dye Hair Cut Blow Dry or Curls Hair Shining serum (Shoulder Length),"Rs. 6,000/-","DEAL 38 HAIR DEAL Fashion Dye Hair Cut Blow Dry or Curls Hair Shining serum (Shoulder Length) Rs. 6,000/-"
SARA SALON,DEAL 37,DEAL 37 FULL BODY MASSAGE Head Massage Deep Conditioning Hair Wash Hand Polish Feet Polish,"Rs. 1,499/-","DEAL 37 FULL BODY MASSAGE Head Massage Deep Conditioning Hair Wash Hand Polish Feet Polish Rs. 1,499/- BUY 1 GET 4 SERVICES FREE"
NIMS BEAUTY SALON,DEAL 36,DEAL 36 SKIN DEAL Teen Age Cleansing Whitening / Sandal Bleach Half Arms Waxing and Half Legs Waxing Shoulder Massage and Back Massage Simple Mani or Simple Pedi Eyebrows / Upper Lips,"Rs. 4,500/-","DEAL 36 SKIN DEAL Teen Age Cleansing Whitening / Sandal Bleach Half Arms Waxing and Half Legs Waxing Shoulder Massage and Back Massage Simple Mani or Simple Pedi Eyebrows / Upper Lips Rs. 4,500/-"
BELLAGIO BY SADAF,Unknown Deal,DEAL O06 Exclusive of 10% Tax,Price not specified,DEAL O06 Exclusive of 10% Tax
AIMS BEAUTY SALON,Unknown Deal,DEAL  SKIN DEAL New Light / Hydra Lift Sandal / Oxy Bleach Simple Manicure Simple Pedicure Hand Bleach and Feet Bleach Full Arms Waxing and Half Legs Waxing Eyebrow / Upper Lips,"Rs. 9,500/-","DEAL  SKIN DEAL New Light / Hydra Lift Sandal / Oxy Bleach Simple Manicure Simple Pedicure Hand Bleach and Feet Bleach Full Arms Waxing and Half Legs Waxing Eyebrow / Upper Lips Rs. 9,500/-"
NIMS BEAUTY SALON,DEAL 28,DEAL 28 SKIN DEAL Hydra Whitening Facial Whitening Bleach Whitening Polish High Frequency Back Massage / Shoulder Massage Eyebrows / Upper Lips Nose Wax,"Rs. 3,500/-","DEAL 28 SKIN DEAL Hydra Whitening Facial Whitening Bleach Whitening Polish High Frequency Back Massage / Shoulder Massage Eyebrows / Upper Lips Nose Wax Rs. 3,500/-"
AIMS BEAUTY SALON,DEAL 30,DEAL 30 SKIN DEAL Hydra Radiant / Hydra Clean Sandal Bleach / Whitening Bleach Whitening Polish Back Massage / Shoulder Massage Eyebrows / Upper Lips Hand Massage /Nose Wax,"Rs. 5,000/-","DEAL 30 SKIN DEAL Hydra Radiant / Hydra Clean Sandal Bleach / Whitening Bleach Whitening Polish Back Massage / Shoulder Massage Eyebrows / Upper Lips Hand Massage /Nose Wax Rs. 5,000/-"
NIMS BEAUTY SALON,DEAL 29,DEAL 29 MAKEUP DEAL Smokey Party Makeup by Senior Makeup Artist Makeover Lashes Nail Color Hairdo Blow dry Tongs / Iron,"Rs. 4,000/-","DEAL 29 MAKEUP DEAL Smokey Party Makeup by Senior Makeup Artist Makeover Lashes Nail Color Hairdo Blow dry Tongs / Iron Rs. 4,000/-"
NIMS BEAUTY SALON,DEAL 27,DEAL 27 SKIN DEAL Fruit Facial Oxy Bleach / Whitening Bleach Hydrating Mask Shoulder Massage Eyebrow / Upper Lips Half Arms Wax / Hand Bleach / Feet Bleach,"Rs. 3,000/-","DEAL 27 SKIN DEAL Fruit Facial Oxy Bleach / Whitening Bleach Hydrating Mask Shoulder Massage Eyebrow / Upper Lips Half Arms Wax / Hand Bleach / Feet Bleach Rs. 3,000/-"
